Population at the beginning of the period across the territory of the Republic of Belarus
persons
        Postavy district;65 to 69 years of age;2395
        Postavy district;70 to 74 years of age;1638
        Postavy district;75 to 79 years of age;1163
        Postavy district;80 and over;1483
        Rossony district;0 to 4 years of age;294
        Rossony district;By all age;8050
        Rossony district;5 to 9 years of age;368
        Rossony district;10 to 14 years of age;443
        Rossony district;15 to 19 years of age;207
        Rossony district;20 to 24 years of age;319
        Rossony district;25 to 29 years of age;245
        Rossony district;30 to 34 years of age;409
        Rossony district;35 to 39 years of age;535
        Rossony district;40 to 44 years of age;497
        Rossony district;45 to 49 years of age;549
        Rossony district;50 to 54 years of age;612
        Rossony district;55 to 59 years of age;689
        Rossony district;60 to 64 years of age;870
        Rossony district;65 to 69 years of age;805
        Rossony district;70 to 74 years of age;543
        Rossony district;75 to 79 years of age;357
        Rossony district;80 and over;308
        Senno district;0 to 4 years of age;675
        Senno district;By all age;18132
        Senno district;5 to 9 years of age;791
        Senno district;10 to 14 years of age;874
        Senno district;15 to 19 years of age;509
        Senno district;20 to 24 years of age;976
        Senno district;25 to 29 years of age;724
        Senno district;30 to 34 years of age;721
        Senno district;35 to 39 years of age;1044
        Senno district;40 to 44 years of age;1172
        Senno district;45 to 49 years of age;1239
        Senno district;50 to 54 years of age;1368
        Senno district;55 to 59 years of age;1495
        Senno district;60 to 64 years of age;1812
        Senno district;65 to 69 years of age;1800
        Senno district;70 to 74 years of age;1198
        Senno district;75 to 79 years of age;730
        Senno district;80 and over;1004
        Tolochin district;0 to 4 years of age;845
        Tolochin district;By all age;21292
        Tolochin district;5 to 9 years of age;1074
        Tolochin district;10 to 14 years of age;1255
