id,name,name_ru,name_be,name_en,name_latin,place,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,geometry,settlement_key
node/243039308,Анэліна,Анелино,Анэліна,,Anelina,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.7800965 54.5198421),Анелино
node/243039339,Яськаўшчына,Ясковщина,Яськаўшчына,,Ias'kaushchyna,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.7518135 54.5187633),Ясковщина
node/243039325,Равяцічы,Ревятичи,Равяцічы,Ravyatsichy,Ravyatsichy,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.7508972 54.5407858),Ревятичи
node/243039335,Курчэўская Усвейка,Курчевская Усвейка,Курчэўская Усвейка,,Kurcheuskaia Usveika,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.769623 54.552812),Курчевская Усвейка
node/243033223,Данілкава,Данилково,Данілкава,,Danilkava,hamlet,Belarus,BY007,Vitebsk,BY007011,Orsha,POINT (29.80694 54.569859),Данилково
node/243033185,Казігорка,Козигорка,Казігорка,,Kazigorka,hamlet,Belarus,BY007,Vitebsk,BY007011,Orsha,POINT (29.832373 54.552387),Козигорка
node/243033216,Станаўка,Становка,Станаўка,,Stanauka,hamlet,Belarus,BY007,Vitebsk,BY007011,Orsha,POINT (29.8350974 54.5303537),Становка
node/243033145,Лаўрэнаўка,Лавреновка,Лаўрэнаўка,,Laurenauka,hamlet,Belarus,BY007,Vitebsk,BY007011,Orsha,POINT (29.8504779 54.5419184),Лавреновка
node/243033131,Відзінічы,Видиничи,Відзінічы,,Vidzinichy,hamlet,Belarus,BY007,Vitebsk,BY007011,Orsha,POINT (29.8411697 54.5486414),Видиничи
node/243033227,Чуватава,Чуватово,Чуватава,,Chuvatava,hamlet,Belarus,BY007,Vitebsk,BY007011,Orsha,POINT (29.8998067 54.5669144),Чуватово
node/243033209,Ржэўка,Ржевка,Ржэўка,,Rzheuka,hamlet,Belarus,BY007,Vitebsk,BY007011,Orsha,POINT (29.8971859 54.5498737),Ржевка
node/243033104,Лешава,Лешево,Лешава,,Leshava,hamlet,Belarus,BY007,Vitebsk,BY007011,Orsha,POINT (29.8757923 54.5492706),Лешево
node/243033135,Вялікія Міхінічы,Большие Михиничи,Вялікія Міхінічы,,Vialikiia Mikhinichy,hamlet,Belarus,BY007,Vitebsk,BY007011,Orsha,POINT (29.8766096 54.5298875),Большие Михиничи
node/243033212,Малыя Міхінічы,Малые Михиничи,Малыя Міхінічы,,Malyia Mikhinichy,hamlet,Belarus,BY007,Vitebsk,BY007011,Orsha,POINT (29.8831027 54.5317629),Малые Михиничи
node/243033126,Гарбачэва,Горбачево,Гарбачэва,,Garbacheva,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.8850073 54.5165276),Горбачево
node/243033191,Козаўка,Козовка,Козаўка,,Kozauka,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.8672197 54.5138123),Козовка
node/243033109,Жураўлі,Журавли,Жураўлі,,Zhurauli,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.8845894 54.5022769),Журавли
node/243033138,Астрашапкі,Острошапки,Астрашапкі,,Astrashapki,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.9415455 54.5099896),Острошапки
node/243033246,Балашова,Балашово,Балашова,,Balashova,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.9600598 54.5166494),Балашово
